"IMSI","IMEI","Start GUMMEI","End GUMMEI","Start Time","End Time","Start Type","End Type","Start MME UE S1AP ID","End MME UE S1AP ID","Start eNB UE S1AP ID","End eNB UE S1AP ID","Total","IMSI Blank","LSR No Key","LSR No IMEI","IMSI Mapped","DMS Not Match","KEY NO IMEI","KEY NO IMSI","IMEI NO KEY","IMEI NO IMSI","IMEI NO NewIMSI","IMSI NO KEY","IMSI NO IMEI","NewIMSI NO IMEI","IMEI Mapped","NewIMSI NO NewIMEI","KEY IMSI Mapping","IMEI IMSI Mapping","DMS IMSI Mapping","KEY NO IMEI Mapping","IMEI NO KEY Mapping","Session Error","Start Type:Connection Reestablishment","Start Type:New Connection","Start Type:S1 Handover","Start Type:Unknown","Start Type:X2 Handover","End Type:Connection Release","End Type:Failed Attempt","End Type:Intra-eNB Handover","End Type:Outgoing S1 Handover","End Type:Outgoing X2 Handover","End Type:Unknown","DMS Match","Key Rate","IMEI Rate","Orig IMSI Rate","KEY NO IMEI Rate","KEY NO IMSI Rate","IMEI NO KEY Rate","IMEI NO IMSI Rate","IMEI NO NewIMSI Rate","IMSI NO KEY Rate","IMSI NO IMEI Rate","NewIMSI NO IMEI Rate","NewIMEI Rate","NewIMSI NO NewIMEI Rate","DMS Not Match Rate","Keyed DMS Match Rate","DMS Match Rate","Mapped Rate","Keyed Mapped Rate","Keyed Mapped Rate (with Blank)","KEY IMSI Mapping Rate","IMEI IMSI Mapping Rate","DMS IMSI Mapping Rate","KEY NO IMEI Mapping Rate","IMEI NO KEY Mapping Rate","File Path","File Time","Sync Time"
"120611","152776","428619","84573","476599","476599","476599","476599","453771","454838","450412","448669","476599","6880","25380","323823","380738","63622","298464","330629","21","32645","2321","21","480","230283","383059","0","370007","152347","383023","230676","0","0","16495","389435","131","10811","59727","381927","3972","1","82","75782","14835","387597.0","94.67%","32.06%","25.31%","62.62%","69.37%","0.0%","6.85%","0.49%","0.0%","0.1%","48.32%","80.37%","0.0%","13.35%","85.9%","81.33%","79.89%","84.38%","85.9%","77.63%","31.97%","80.37%","48.4%","0.0%","10.108.200.141/180522/15/2018052215.1526975368.csv","2018-05-22 15:49:28","2018-05-22 15:53:28"
"100865","127758","361201","75437","403557","403557","403557","403557","384532","385387","381485","379789","403557","5556","21391","275799","318562","58056","254416","281309","8","27318","2270","8","425","193074","320832","0","308652","127452","320799","193347","0","0","13627","325607","92","9074","55157","319609","3288","2","59","68009","12590","324110.0","94.7%","31.66%","24.99%","63.04%","69.71%","0.0%","6.77%","0.56%","0.0%","0.11%","47.84%","79.5%","0.0%","14.39%","84.81%","80.31%","78.94%","83.36%","84.81%","76.48%","31.58%","79.49%","47.91%","0.0%","10.108.200.141/180522/15/2018052215.1526975123.csv","2018-05-22 15:45:23","2018-05-22 15:48:29"
"97398","123336","353977","77864","396152","396152","396152","396152","375484","376337","372305","370628","396152","5025","23207","272816","286733","81191","249613","275551","4","26340","4794","4","402","168191","291527","0","268248","123033","291414","168381","0","0","12658","316176","104","10619","56595","307142","4123","2","51","70434","14400","291754.0","94.14%","31.13%","24.59%","63.01%","69.56%","0.0%","6.65%","1.21%","0.0%","0.1%","42.46%","73.59%","0.0%","20.49%","78.23%","73.65%","72.38%","76.88%","78.23%","67.71%","31.06%","73.56%","42.5%","0.0%","10.108.200.141/180522/15/2018052215.1526974878.csv","2018-05-22 15:41:18","2018-05-22 15:44:53"
"107784","135927","378053","72537","420139","420139","420139","420139","400034","400976","397000","395606","420139","5782","22436","284212","328448","63488","261791","289932","15","28557","3171","13","414","195692","331619","0","315163","135611","331533","195922","0","0","13485","345126","104","9909","51515","338091","4007","3","61","64491","13486","334215.0","94.66%","32.35%","25.65%","62.31%","69.01%","0.0%","6.8%","0.75%","0.0%","0.1%","46.58%","78.93%","0.0%","15.11%","84.04%","79.55%","78.18%","82.59%","84.04%","75.01%","32.28%","78.91%","46.63%","0.0%","10.108.200.141/180522/15/2018052215.1526974623.csv","2018-05-22 15:37:03","2018-05-22 15:41:03"
"101157","127656","359644","72536","401205","401205","401205","401205","381729","382570","378972","377512","401205","5868","21604","273549","318539","55202","251953","278451","8","26884","2063","7","385","192946","320602","0","309582","127366","320570","193204","0","0","13003","325364","97","9702","53039","319954","3664","4","71","64514","12998","324399.0","94.62%","31.82%","25.21%","62.8%","69.4%","0.0%","6.7%","0.51%","0.0%","0.1%","48.09%","79.91%","0.0%","13.76%","85.46%","80.86%","79.4%","83.91%","85.46%","77.16%","31.75%","79.9%","48.16%","0.0%","10.108.200.141/180522/15/2018052215.1526974363.csv","2018-05-22 15:32:43","2018-05-22 15:36:42"
"0","0","0","0","1","1","1","1","0","1","1","1","1","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","","0","0","1","0.0","100.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","10.108.200.141/180522/14/2018052214.1526974138.csv","2018-05-22 15:28:58","2018-05-22 15:29:07"
"102208","129170","368806","81700","411901","411901","411901","411901","391313","392305","388173","386563","411901","5833","23131","282731","320832","62127","259622","286584","22","27437","2164","22","475","193826","322996","0","311080","128881","322970","194089","0","0","13883","329479","93","9717","58729","319594","4186","","50","74397","13674","326643.0","94.38%","31.36%","24.81%","63.03%","69.58%","0.01%","6.66%","0.53%","0.01%","0.12%","47.06%","78.42%","0.0%","15.08%","84.02%","79.3%","77.89%","82.52%","84.03%","75.52%","31.29%","78.41%","47.12%","0.0%","10.108.200.141/180522/15/2018052215.1526974113.csv","2018-05-22 15:28:33","2018-05-22 15:31:43"
"107694","136201","386939","82442","431515","431515","431515","431515","410746","411650","407637","405883","431515","6026","23312","295314","336180","66020","272025","300520","23","28953","2664","11","446","202643","338844","0","324667","135800","338798","202998","0","0","13615","348286","88","10023","59503","339403","4360","","74","73791","13887","342183.0","94.6%","31.56%","24.96%","63.04%","69.64%","0.01%","6.71%","0.62%","0.0%","0.1%","46.96%","78.52%","0.0%","15.3%","83.83%","79.3%","77.91%","82.36%","83.83%","75.24%","31.47%","78.51%","47.04%","0.0%","10.108.200.141/180522/15/2018052215.1526973848.csv","2018-05-22 15:24:08","2018-05-22 15:28:08"
"0","0","8","1","418","418","418","418","410","410","8","8","418","0","418","418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","409","0","1","","0","0","417","0.0","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","10.108.200.141/180522/14/2018052214.1526973683.csv","2018-05-22 15:21:23","2018-05-22 15:21:32"
"103191","130420","365899","74596","405339","405339","405339","405339","385934","386831","384516","382959","405339","4960","20218","274919","297176","82990","254706","281935","5","27642","5508","5","413","172264","302684","0","275983","130026","302528","172502","0","0","13262","331446","89","9365","51177","323646","3748","","49","66465","11431","302131.0","95.01%","32.18%","25.46%","62.84%","69.56%","0.0%","6.82%","1.36%","0.0%","0.1%","42.5%","74.67%","0.0%","20.47%","78.45%","74.54%","73.32%","77.16%","78.45%","68.09%","32.08%","74.64%","42.56%","0.0%","10.108.200.141/180522/15/2018052215.1526973603.csv","2018-05-22 15:20:03","2018-05-22 15:23:03"
