Date,eNB--MME,total record,total IMSI,IMSI rate,Note
2017-11-11,sum of EE,24999786,24939370,99.76%,
2017-11-11,sum of EN,85468215,83317765,97.48%,
2017-11-11,sum of total ERT eNB,110468001,108257135,98.00%,used in LSR IMSI matching
2017-11-11,sum of NE,77686,77582,99.87%,
2017-11-11,sum of NN,449700681,439921217,97.83%,
2017-11-11,sum of total NSN eNB,449778367,439998799,97.83%,
2017-11-11,total E + N,560246368,548255934,97.86%,used in DMS output reports
2017-11-11,sum of total ERT MME,25077472,25016952,99.76%,
2017-11-11,sum of total NSN MME,535168896,523238982,97.77%,
2017-11-11,IMSI mapping rate,,,79.7%,
2017-11-11,IMEI mapping rate,,,80.31%,
2017-11-12,sum of EE,24603216,24543668,99.76%,
2017-11-12,sum of EN,85743561,83586196,97.48%,
2017-11-12,sum of total ERT eNB,110346777,108129864,97.99%,used in LSR IMSI matching
2017-11-12,sum of NE,78742,78620,99.85%,
2017-11-12,sum of NN,438500105,429216222,97.88%,
2017-11-12,sum of total NSN eNB,438578847,429294842,97.88%,
2017-11-12,total E + N,548925624,537424706,97.90%,used in DMS output reports
2017-11-12,sum of total ERT MME,24681958,24622288,99.76%,
2017-11-12,sum of total NSN MME,524243666,512802418,97.82%,
2017-11-12,IMSI mapping rate,,,79.98%,
2017-11-12,IMEI mapping rate,,,80.71%,
2017-11-13,sum of EE,23722696,23670832,99.78%,
2017-11-13,sum of EN,85966505,84035012,97.75%,
2017-11-13,sum of total ERT eNB,109689201,107705844,98.19%,used in LSR IMSI matching
2017-11-13,sum of NE,71403,71321,99.89%,
2017-11-13,sum of NN,446231572,437606685,98.07%,
2017-11-13,sum of total NSN eNB,446302975,437678006,98.07%,
2017-11-13,total E + N,555992176,545383850,98.09%,used in DMS output reports
2017-11-13,sum of total ERT MME,23794099,23742153,99.78%,
2017-11-13,sum of total NSN MME,532198077,521641697,98.02%,
2017-11-13,IMSI mapping rate,,,80.8%,
2017-11-13,IMEI mapping rate,,,81.42%,
2017-11-14,sum of EE,23823036,23028637,96.67%,
2017-11-14,sum of EN,88289934,86077994,97.49%,
2017-11-14,sum of total ERT eNB,112112970,109106631,97.32%,used in LSR IMSI matching
2017-11-14,sum of NE,65546,64367,98.20%,
2017-11-14,sum of NN,453088349,443335253,97.85%,
2017-11-14,sum of total NSN eNB,453153895,443399620,97.85%,
2017-11-14,total E + N,565266865,552506251,97.74%,used in DMS output reports
2017-11-14,sum of total ERT MME,23888582,23093004,96.67%,
2017-11-14,sum of total NSN MME,541378283,529413247,97.79%,
2017-11-14,IMSI mapping rate,,,82.84%,
2017-11-14,IMEI mapping rate,,,83.58%,
2017-11-15,sum of EE,24001640,23939025,99.74%,
2017-11-15,sum of EN,89168833,86674289,97.20%,
2017-11-15,sum of total ERT eNB,113170473,110613314,97.74%,used in LSR IMSI matching
2017-11-15,sum of NE,66666,66294,99.44%,
2017-11-15,sum of NN,455286544,444318451,97.59%,
2017-11-15,sum of total NSN eNB,455353210,444384745,97.59%,
2017-11-15,total E + N,568523683,554998059,97.62%,used in DMS output reports
2017-11-15,sum of total ERT MME,24068306,24005319,99.74%,
2017-11-15,sum of total NSN MME,544455377,530992740,97.53%,
2017-11-15,IMSI mapping rate,,,82.69%,
2017-11-15,IMEI mapping rate,,,83.44%,
2017-11-16,sum of EE,23994072,23942798,99.79%,
2017-11-16,sum of EN,89225585,86971583,97.47%,
2017-11-16,sum of total ERT eNB,113219657,110914381,97.96%,used in LSR IMSI matching
2017-11-16,sum of NE,64869,64537,99.49%,
2017-11-16,sum of NN,455146403,444985929,97.77%,
2017-11-16,sum of total NSN eNB,455211272,445050466,97.77%,
2017-11-16,total E + N,568430929,555964847,97.81%,used in DMS output reports
2017-11-16,sum of total ERT MME,24058941,24007335,99.79%,
2017-11-16,sum of total NSN MME,544371988,531957512,97.72%,
2017-11-16,IMSI mapping rate,,,83.48%,
2017-11-16,IMEI mapping rate,,,84.22%,
2017-11-17,sum of EE,24396934,24337294,99.76%,
